"symbol","lower_price","higher_price","lower_size","higher_size"
"A","1350000","1500800",1,108019
"AA","356600","402999",1,177309
"AAA","250548","251900",1,1675
"AAAU","261420","265200",1,116400
"AACG","7102","7697",1,8000
"AACT","108100","108300",1,1900
"AACT=","109000","109000",2,2
"AACT+","1300","1500",15,240
"AADI","18707","20100",1,4810
"AADR","640100","647100",1,300
"AAL","109500","119800",1,2825334
"AAM","100000","100200",1,630000
"AAM=","100200","100200",2,108
"AAM+","499","566",100,50000
"AAME","15700","17800",1,1973
"AAN","100200","100800",1,199608
"AAOI","135100","166100",1,115066
"AAON","1050000","1088900",1,53114
"AAP","397500","424900",1,495811
"AAPB","281700","291290",1,3000
"AAPD","166661","169800",1,10655
"AAPL","2126298","2311100",1,6539795
"AAPR","261701","262600",8,500
"AAPU","356888","369500",1,10700
"AAPX","326800","336010",1,1566
"AAPY","270107","275500",1,300
"AAT","264100","299500",1,19700
"AAXJ","788200","807900",1,833778
"AB","346600","355000",1,5000
"ABAT","8100","10100",1,39000
"ABBV","1895300","1961300",1,422000
"ABCB","609400","623900",1,38500
"ABCL","24600","26391",1,53500
"ABCS","282000","287800",1,1000
"ABEO","57600","62300",1,63003
"ABEQ","326101","328200",1,5797
"ABEV","23300","24100",1,25000000
"ABG","2301000","2470099",1,3500
"ABL","100500","108700",1,4553
"ABLLL","265700","267900",1,200
"ABLLW","16400","18800",1,3000
"ABLV","8407","10000",1,1000
"ABM","509101","522399",1,196300
"ABNB","1280300","1333700",1,426598
"ABNY","157500","168800",1,500
"ABOS","23600","26099",1,16676
"ABR","152100","157500",1,49041
"ABR-D","191500","194178",1,1500
"ABR-E","194000","198000",1,515
"ABR-F","191200","194200",1,2400
"ABSI","38067","41700",1,119884
"ABT","1120800","1144700",1,64132
"ABTS","4500","5500",1,770
"ABUS","37900","40100",1,152532
"ABVC","6305","6949",1,7000
"ABVE","5730","7000",1,13333
"ABVEW","155","240",1,859
"ABVX","113400","118400",1,199500
"AC","337564","353900",1,600
"ACA","930000","964700",1,4616
"ACAB","110500","112500",1,1200
"ACABU","103512","103512",1,1
"ACAC","110000","131500",1,200
"ACACU","117600","130000",1,100
"ACACW","3280","3280",3,3
"ACAD","153100","161100",1,1401961
"ACB","55900","61138",1,35867
"ACCD","38100","41100",1,57642
"ACCO","53000","54600",1,21010
"ACDC","62200","67000",1,158650
"ACEL","112900","117400",1,2604
"ACES","274600","300000",1,4000
"ACET","13400","14900",1,200058
"ACGL","1121500","1136700",1,258352
"ACGLN","204200","207800",1,1871
"ACGLO","236100","239083",1,2400
"ACHC","532200","766651",1,218257
"ACHL","9500","10300",1,17500
"ACHR","28200","31800",1,900000
"ACHR+","2899","3950",1,5000
"ACHV","43850","48993",1,14933
"ACI","183501","185800",1,626782
"ACIC","107500","118320",1,45953
"ACIO","395301","398795",1,68246
"ACIU","35600","39300",1,3399
"ACIW","485300","509300",1,131120
"ACLS","1030000","1131700",1,63186
"ACLX","824601","863981",1,65095
"ACM","1010600","1046300",1,134700
"ACMR","183267","199200",1,103642
"ACN","3209933","3668900",1,35000
"ACNB","414200","444999",1,9235
"ACNT","92300","102400",1,1925
"ACON","1751","1899",1,17100
"ACONW","349","349",265,265
"ACP","64100","65800",1,100000
"ACP-A","241300","241301",100,100
"ACR","150100","159000",1,1800
"ACR-C","251603","252899",1,637
"ACR-D","233000","234400",2,1014
"ACRE","72400","75400",1,11690
"ACRS","11200","12100",1,28454
"ACRV","70000","75599",1,10308
"ACSI","582100","585400",1,20
"ACST","29000","32000",1,18800
"ACT","359900","367100",1,94413
"ACTG","47300","48200",1,95834
"ACTU","56800","67100",1,2100
"ACTV","335200","341400",1,9981
"ACU","387800","425000",1,981
"ACV","210265","214700",1,984
"ACVA","195000","211000",1,408611
"ACVF","434300","437999",1,10337
"ACWI","1185200","1204000",1,345099
"ACWV","1140200","1153300",1,7927
"ACWX","564500","579550",1,31731
"ACXP","18700","20300",1,5000
"ADAG","21700","23500",1,1000
"ADAP","9100","10100",1,551858
"ADBE","5110100","5368700",1,480509
"ADC","740000","757500",1,6600
"ADC-A","211300","217200",1,971
"ADCT","29600","31700",1,25000
"ADD","10450","15900",1,49362
"ADEA","117960","122906",1,200000
"ADFI","87600","93045",1,12006
"ADGM","27600","36900",1,1012
"ADI","2181600","2354500",1,1466278
"ADIL","9901","10800",1,8600
"ADIV","164320","167800",1,400
"ADM","581300","607200",1,121270
"ADMA","191000","199800",1,2473026
"ADME","459200","461750",1,2743
"ADN","19300","23700",1,4812
"ADNT","220700","242500",1,75830
"ADNWW","75","90",1,31900
"ADP","2720000","2834500",1,263290
"ADPT","39000","55300",1,397914
"ADPV","315800","318750",1,2827
"ADRT","110300","125450",1,612
"ADRT=","113000","120000",100,100
